Transposition	1	2	3	4
T1 + 1	0.08571428571428572	0.0625	0.0	NaN
T2 - 1	0.07692307692307693	0.5	0.1	0.0
T2 + 1	0.07228915662650602	0.17647058823529413	0.16666666666666666	1.0
T3 - 1	0.16666666666666666	0.05084745762711865	0.3333333333333333	1.0
T3 + 1	0.12698412698412698	0.11428571428571428	0.75	0.25
T4 - 1	0.14285714285714285	0.06666666666666667	0.4	0.0
T4 + 1	0.07865168539325842	0.15	0.1	0.5
T5 - 1	0.10101010101010101	0.30434782608695654	0.1111111111111111	1.0
T5 + 1	0.075	0.25	0.06666666666666667	NaN
T6 - 1	0.11214953271028037	0.22580645161290322	0.1	0.0
T6 + 1	0.17582417582417584	0.16666666666666666	0.5	0.2222222222222222
T7 - 1	0.15178571428571427	0.14285714285714285	0.30434782608695654	0.375
T7 + 1	0.1568627450980392	0.19148936170212766	0.2608695652173913	0.06666666666666667
T8 - 1	0.17582417582417584	0.22	0.3181818181818182	0.2
T8 + 1	0.07407407407407407	0.2727272727272727	0.5	0.08333333333333333
T9 - 1	0.08888888888888889	0.19047619047619047	0.6666666666666666	0.125
