Transposition	1	2	3	4	Slope
T1 + 1	0.08571428571428572	0.0625	0.0	NaN	-0.04285714285714288
T2 - 1	0.07692307692307693	0.5	0.1	0.0	-0.06307692307692309
T2 + 1	0.07228915662650602	0.17647058823529413	0.16666666666666666	1.0	0.27733286085518555
T3 - 1	0.16666666666666666	0.05084745762711865	0.3333333333333333	1.0	0.2782485875706215
T3 + 1	0.12698412698412698	0.11428571428571428	0.75	0.25	0.10047619047619052
T4 - 1	0.14285714285714285	0.06666666666666667	0.4	0.0	-0.009523809523809516
T4 + 1	0.07865168539325842	0.15	0.1	0.5	0.1214044943820225
T5 - 1	0.10101010101010101	0.30434782608695654	0.1111111111111111	1.0	0.2503732981993852
T5 + 1	0.075	0.25	0.06666666666666667	NaN	-0.004166666666666681
T6 - 1	0.11214953271028037	0.22580645161290322	0.1	0.0	-0.04622550497437445
T6 + 1	0.17582417582417584	0.16666666666666666	0.5	0.2222222222222222	0.04725274725274725
T7 - 1	0.15178571428571427	0.14285714285714285	0.30434782608695654	0.375	0.08311335403726709
T7 + 1	0.1568627450980392	0.19148936170212766	0.2608695652173913	0.06666666666666667	-0.0201208031778854
T8 - 1	0.17582417582417584	0.22	0.3181818181818182	0.2	0.01707092907092907
T8 + 1	0.07407407407407407	0.2727272727272727	0.5	0.08333333333333333	0.02550505050505052
T9 - 1	0.08888888888888889	0.19047619047619047	0.6666666666666666	0.125	0.05845238095238096
