Transposition	1	2	3	4	Slope
T1 + 1	0.1	0.08333333333333333	0.2	NA	0.04999999999999998
T2 - 1	0.11267605633802817	0.12	0.1111111111111111	0.0	-0.03469170579029734
T2 + 1	0.1043956043956044	0.11666666666666667	0.14285714285714285	0.5	0.12130036630036631
T3 - 1	0.09803921568627451	0.14285714285714285	0.2222222222222222	0.1111111111111111	0.011858076563958925
T3 + 1	0.1225296442687747	0.23333333333333334	0.23076923076923078	0.058823529411764705	-0.019368244713513276
T4 - 1	0.10884353741496598	0.17	0.10256410256410256	0.5	0.11060334903192044
T4 + 1	0.14977973568281938	0.13675213675213677	0.15789473684210525	0.2857142857142857	0.042894625018436744
T5 - 1	0.12927756653992395	0.13392857142857142	0.2857142857142857	0.13333333333333333	0.01639530146659423
T5 + 1	0.16791044776119404	0.22377622377622378	0.20588235294117646	0.13043478260869565	-0.013032086629254246
T6 - 1	0.1828793774319066	0.2302158273381295	0.13043478260869565	0.3157894736842105	0.02989492440274777
T6 + 1	0.14814814814814814	0.2074074074074074	0.19753086419753085	0.25925925925925924	0.03234567901234566
T7 - 1	0.14501510574018128	0.16556291390728478	0.17391304347826086	0.35	0.062330481235043214
T7 + 1	0.1510989010989011	0.2698412698412698	0.21794871794871795	0.28125	0.03385607448107449
T8 - 1	0.1814814814814815	0.22916666666666666	0.22727272727272727	0.16666666666666666	-0.004633838383838374
T8 + 1	0.12396694214876033	0.08536585365853659	0.15789473684210525	0.5	0.12006280567372876
T9 - 1	0.0787037037037037	0.1875	0.3076923076923077	0.3333333333333333	0.08840811965811966
