Transposition	1	2	3	4
T1 + 1	0.08641975308641975	0.06451612903225806	0.0	NaN
T2 - 1	0.0703125	0.21052631578947367	0.05263157894736842	0.0
T2 + 1	0.09523809523809523	0.1702127659574468	0.12	0.3333333333333333
T3 - 1	0.15714285714285714	0.07692307692307693	0.2	0.375
T3 + 1	0.10077519379844961	0.08771929824561403	0.6	0.25
T4 - 1	0.12048192771084337	0.09090909090909091	0.2	0.0
T4 + 1	0.07602339181286549	0.1724137931034483	0.1	0.16666666666666666
T5 - 1	0.10270270270270271	0.1267605633802817	0.07142857142857142	1.0
T5 + 1	0.10900473933649289	0.18181818181818182	0.125	0.0
T6 - 1	0.11855670103092783	0.19117647058823528	0.11428571428571428	0.0
T6 + 1	0.16842105263157894	0.18269230769230768	0.40625	0.21052631578947367
T7 - 1	0.16494845360824742	0.15315315315315314	0.2682926829268293	0.29411764705882354
T7 + 1	0.18536585365853658	0.14545454545454545	0.15555555555555556	0.10526315789473684
T8 - 1	0.19889502762430938	0.18699186991869918	0.25	0.2727272727272727
T8 + 1	0.12903225806451613	0.28205128205128205	0.24	0.1
T9 - 1	0.12429378531073447	0.25	0.3103448275862069	0.14285714285714285
