Transposition	1	2	3	4	Slope
T1 + 1	0.08641975308641975	0.06451612903225806	0.0	NaN	-0.0432098765432099
T2 - 1	0.0703125	0.21052631578947367	0.05263157894736842	0.0	-0.036883223684210535
T2 + 1	0.09523809523809523	0.1702127659574468	0.12	0.3333333333333333	0.06640729483282674
T3 - 1	0.15714285714285714	0.07692307692307693	0.2	0.375	0.07766483516483517
T3 + 1	0.10077519379844961	0.08771929824561403	0.6	0.25	0.09599551203590373
T4 - 1	0.12048192771084337	0.09090909090909091	0.2	0.0	-0.025235487404162097
T4 + 1	0.07602339181286549	0.1724137931034483	0.1	0.16666666666666666	0.01995160314579552
T5 - 1	0.10270270270270271	0.1267605633802817	0.07142857142857142	1.0	0.2636559899940182
T5 + 1	0.10900473933649289	0.18181818181818182	0.125	0.0	-0.038383239982766056
T6 - 1	0.11855670103092783	0.19117647058823528	0.11428571428571428	0.0	-0.04325608593953047
T6 + 1	0.16842105263157894	0.18269230769230768	0.40625	0.21052631578947367	0.03498734817813767
T7 - 1	0.16494845360824742	0.15315315315315314	0.2682926829268293	0.29411764705882354	0.05026471101254045
T7 + 1	0.18536585365853658	0.14545454545454545	0.15555555555555556	0.10526315789473684	-0.023020707719038917
T8 - 1	0.19889502762430938	0.18699186991869918	0.25	0.2727272727272727	0.028450486539019073
T8 + 1	0.12903225806451613	0.28205128205128205	0.24	0.1	-0.012914805624483053
T9 - 1	0.12429378531073447	0.25	0.3103448275862069	0.14285714285714285	0.011603490022543196
